,Description,UnitPrice,TotalReturned,Total$Returned,Unit_Sold,Total_Revenue,Net_Revenue,Return_Rate
0,10 COLOUR SPACEBOY PEN,0.85,165,140.25,4162.0,3537.7,3397.45,3.964440172993753
1,12 COLOURED PARTY BALLOONS,0.65,20,13.0,1787.0,1161.55,1148.55,1.119194180190263
2,12 EGG HOUSE PAINTED WOOD,12.75,1,12.75,75.0,956.25,943.5,1.3333333333333335
3,12 IVORY ROSE PEG PLACE SETTINGS,1.25,1,1.25,708.0,885.0,883.75,0.14124293785310735
4,12 PENCIL SMALL TUBE WOODLAND,0.65,4,2.6,2410.0,1566.5,1563.9,0.16597510373443983
5,12 PENCILS SMALL TUBE RED RETROSPOT,0.65,120,78.0,4577.0,2975.05,2897.05,2.6218046755516715
6,12 PENCILS SMALL TUBE SKULL,0.65,566,367.9,4607.0,2994.55,2626.65,12.28565226828739
7,12 PENCILS TALL TUBE POSY,0.29,24,6.959999999999999,3152.0,914.0799999999999,907.1199999999999,0.7614213197969544
8,12 PENCILS TALL TUBE RED RETROSPOT,0.85,3,2.55,2084.0,1771.3999999999999,1768.85,0.14395393474088292
9,12 PENCILS TALL TUBE SKULLS,0.85,4,3.4,1875.0,1593.75,1590.35,0.21333333333333335
10,12 PENCILS TALL TUBE WOODLAND,0.85,3,2.55,1502.0,1276.6999999999998,1274.1499999999999,0.1997336884154461
11,12 PINK ROSE PEG PLACE SETTINGS,1.25,4,5.0,210.0,262.5,257.5,1.9047619047619049
12,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6.95,18,125.10000000000001,546.0,3794.7000000000003,3669.6000000000004,3.296703296703297
13,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.95,19,151.05,538.0,4277.1,4126.05,3.5315985130111525
14,16 PIECE CUTLERY SET PANTRY DESIGN,15.95,2,31.9,88.0,1403.6,1371.6999999999998,2.272727272727273
15,2 PICTURE BOOK EGGS EASTER CHICKS,1.25,1,1.25,149.0,186.25,185.0,0.6711409395973155
16,20 DOLLY PEGS RETROSPOT,1.25,12,15.0,1086.0,1357.5,1342.5,1.1049723756906076
17,20 DOLLY PEGS RETROSPOT,1.45,1,1.45,439.0,636.55,635.0999999999999,0.22779043280182232
19,3 DRAWER ANTIQUE WHITE WOOD CABINET,8.15,24,195.6,252.0,2053.8,1858.2000000000003,9.523809523809524
20,3 DRAWER ANTIQUE WHITE WOOD CABINET,8.95,3,26.849999999999998,422.0,3776.8999999999996,3750.0499999999997,0.7109004739336493
21,3 GARDENIA MORRIS BOXED CANDLES,1.25,3,3.75,417.0,521.25,517.5,0.7194244604316548
22,3 GARDENIA MORRIS BOXED CANDLES,4.25,4,17.0,62.0,263.5,246.5,6.451612903225806
23,3 HEARTS HANGING DECORATION RUSTIC,2.55,5,12.75,592.0,1509.6,1496.85,0.8445945945945946
24,3 HEARTS HANGING DECORATION RUSTIC,2.95,20,59.0,1883.0,5554.85,5495.85,1.0621348911311737
25,3 HOOK HANGER MAGIC GARDEN,1.95,5,9.75,336.0,655.1999999999999,645.4499999999999,1.488095238095238
26,3 HOOK PHOTO SHELF ANTIQUE WHITE,7.65,89,680.85,380.0,2907.0,2226.15,23.42105263157895
27,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5,17,144.5,487.0,4139.5,3995.0,3.4907597535934287
28,3 PIECE SPACEBOY COOKIE CUTTER SET,2.1,12,25.2,1042.0,2188.2000000000003,2163.0000000000005,1.1516314779270633
29,3 ROSE MORRIS BOXED CANDLES,1.25,2,2.5,935.0,1168.75,1166.25,0.21390374331550802
30,3 ROSE MORRIS BOXED CANDLES,4.25,16,68.0,44.0,187.0,119.0,36.36363636363637
31,3 STRIPEY MICE FELTCRAFT,1.95,10,19.5,1971.0,3843.45,3823.95,0.5073566717402334
