,CustomerID,Recency,Frequency,MonetaryValue,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Label
1,12413.0,66,37,676.15,1,2,1,4,Lost Customers
2,12426.0,194,29,510.73,1,5,2,8,Loyal Customers
3,12427.0,11,32,582.37,4,1,1,6,Potential Loyalists
4,12437.0,1,185,4392.66,5,1,1,7,Potential Loyalists
5,12441.0,366,10,155.55,1,5,3,9,Best Customers
6,12468.0,142,38,652.04,1,4,2,7,Potential Loyalists
7,12471.0,1,509,16358.92,5,1,1,7,Potential Loyalists
8,12472.0,30,384,5725.48,3,1,1,5,At Risk
9,12473.0,53,168,2555.77,1,2,1,4,Lost Customers
10,12474.0,16,441,6486.47,3,1,1,5,At Risk
11,12475.0,53,35,669.38,1,2,1,4,Lost Customers
12,12476.0,0,255,5628.58,5,1,1,7,Potential Loyalists
13,12477.0,22,308,13117.01,3,1,1,5,At Risk
14,12479.0,3,34,423.3,5,1,1,7,Potential Loyalists
15,12480.0,27,150,2885.63,3,1,1,5,At Risk
16,12481.0,22,210,5014.86,3,1,1,5,At Risk
17,12488.0,9,54,1244.66,4,1,1,6,Potential Loyalists
18,12489.0,335,14,298.93,1,5,3,9,Best Customers
19,12490.0,4,235,4859.93,5,1,1,7,Potential Loyalists
20,12491.0,38,25,424.40000000000003,2,1,1,4,Lost Customers
21,12492.0,62,18,227.21,1,2,1,4,Lost Customers
22,12493.0,165,22,398.79,1,5,2,8,Loyal Customers
23,12494.0,9,77,995.35,4,1,1,6,Potential Loyalists
24,12497.0,81,13,953.1,1,3,1,5,At Risk
25,12498.0,20,21,349.70000000000005,3,1,1,5,At Risk
26,12500.0,22,55,4026.27,3,1,1,5,At Risk
27,12501.0,314,159,1945.68,1,5,3,9,Best Customers
28,12504.0,17,14,59.99999999999999,3,1,1,5,At Risk
29,12506.0,232,23,73.5,1,5,2,8,Loyal Customers
30,12508.0,25,69,398.27,3,1,1,5,At Risk
31,12509.0,283,6,158.5,1,5,2,8,Loyal Customers
32,12513.0,84,35,532.79,1,3,1,5,At Risk
33,12516.0,77,24,1186.06,1,3,1,5,At Risk
34,12517.0,27,283,2284.89,3,1,1,5,At Risk
35,12518.0,0,119,1840.89,5,1,1,7,Potential Loyalists
36,12519.0,63,17,286.84000000000003,1,2,1,4,Lost Customers
37,12520.0,78,150,2294.5099999999998,1,3,1,5,At Risk
38,12521.0,142,37,545.68,1,4,2,7,Potential Loyalists
39,12522.0,38,10,156.72,2,1,1,4,Lost Customers
40,12523.0,1,106,1655.57,5,1,1,7,Potential Loyalists
41,12524.0,8,136,3945.72,4,1,1,6,Potential Loyalists
42,12526.0,0,68,1172.66,5,1,1,7,Potential Loyalists
43,12527.0,81,17,330.71000000000004,1,3,1,5,At Risk
44,12528.0,8,89,1634.28,4,1,1,6,Potential Loyalists
45,12530.0,59,64,1461.63,1,2,1,4,Lost Customers
46,12531.0,14,17,125.22,4,1,1,6,Potential Loyalists
47,12532.0,29,15,313.83000000000004,3,1,1,5,At Risk
48,12534.0,130,62,981.18,1,4,2,7,Potential Loyalists
49,12535.0,91,34,716.35,1,3,1,5,At Risk
50,12536.0,7,268,4151.26,5,1,1,7,Potential Loyalists
51,12553.0,7,187,3238.25,5,1,1,7,Potential Loyalists
52,12559.0,310,21,500.21000000000004,1,5,3,9,Best Customers
53,12560.0,4,109,1885.3899999999999,5,1,1,7,Potential Loyalists
54,12561.0,302,16,238.85,1,5,3,9,Best Customers
55,12562.0,7,161,3385.7400000000002,5,1,1,7,Potential Loyalists
56,12564.0,260,20,402.9,1,5,2,8,Loyal Customers
57,12566.0,72,19,292.7,1,2,1,4,Lost Customers
58,12567.0,22,455,8322.94,3,1,1,5,At Risk
59,12569.0,1,158,3128.9900000000002,5,1,1,7,Potential Loyalists
60,12571.0,39,34,519.61,2,1,1,4,Lost Customers
61,12572.0,8,60,896.72,4,1,1,6,Potential Loyalists
62,12573.0,226,28,160.54000000000002,1,5,2,8,Loyal Customers
63,12574.0,315,10,182.45000000000002,1,5,3,9,Best Customers
64,12577.0,34,147,591.45,2,1,1,4,Lost Customers
65,12579.0,72,29,374.72,1,2,1,4,Lost Customers
66,12580.0,246,23,379.7,1,5,2,8,Loyal Customers
67,12581.0,39,14,179.71,2,1,1,4,Lost Customers
68,12583.0,2,235,6629.34,5,1,1,7,Potential Loyalists
69,12585.0,233,95,1766.81,1,5,2,8,Loyal Customers
70,12589.0,28,33,574.68,3,1,1,5,At Risk
71,12590.0,189,69,9338.38,1,5,2,8,Loyal Customers
72,12592.0,91,16,401.6,1,3,1,5,At Risk
73,12593.0,108,20,382.09999999999997,1,4,2,7,Potential Loyalists
74,12598.0,9,128,2786.68,4,1,1,6,Potential Loyalists
75,12599.0,28,55,888.58,3,1,1,5,At Risk
76,12600.0,28,54,2311.04,3,1,1,5,At Risk
77,12601.0,189,24,479.56,1,5,2,8,Loyal Customers
78,12602.0,58,12,153.12,1,2,1,4,Lost Customers
79,12603.0,21,1,613.1999999999999,3,1,1,5,At Risk
80,12604.0,78,15,236.18,1,3,1,5,At Risk
82,12609.0,77,57,964.85,1,3,1,5,At Risk
83,12612.0,57,20,607.59,1,2,1,4,Lost Customers
84,12613.0,30,159,2966.98,3,1,1,5,At Risk
85,12614.0,277,20,315.6,1,5,2,8,Loyal Customers
86,12615.0,1,101,2093.19,5,1,1,7,Potential Loyalists
87,12616.0,84,34,585.25,1,3,1,5,At Risk
88,12617.0,28,42,355.53000000000003,3,1,1,5,At Risk
89,12619.0,15,86,2908.81,3,1,1,5,At Risk
90,12620.0,14,91,1303.41,4,1,1,6,Potential Loyalists
91,12621.0,1,456,12334.07,5,1,1,7,Potential Loyalists
92,12622.0,231,10,162.1,1,5,2,8,Loyal Customers
93,12623.0,275,17,269.1,1,5,2,8,Loyal Customers
94,12624.0,105,36,569.13,1,4,2,7,Potential Loyalists
95,12625.0,211,88,2362.32,1,5,2,8,Loyal Customers
96,12626.0,22,298,5722.35,3,1,1,5,At Risk
97,12627.0,10,224,4082.53,4,1,1,6,Potential Loyalists
98,12628.0,3,40,715.61,5,1,1,7,Potential Loyalists
99,12633.0,58,99,1906.63,1,2,1,4,Lost Customers
100,12635.0,89,99,1509.18,1,3,1,5,At Risk
101,12637.0,66,390,5809.25,1,2,1,4,Lost Customers
102,12640.0,23,50,994.58,3,1,1,5,At Risk
103,12642.0,24,44,905.26,3,1,1,5,At Risk
104,12643.0,127,18,3041.64,1,4,2,7,Potential Loyalists
105,12644.0,129,31,477.90999999999997,1,4,2,7,Potential Loyalists
106,12645.0,33,70,1611.38,2,1,1,4,Lost Customers
107,12647.0,21,116,3093.92,3,1,1,5,At Risk
108,12648.0,154,20,300.05,1,5,2,8,Loyal Customers
109,12649.0,106,31,549.71,1,4,2,7,Potential Loyalists
110,12650.0,2,19,242.44,5,1,1,7,Potential Loyalists
111,12651.0,334,9,114.0,1,5,3,9,Best Customers
112,12652.0,321,50,788.53,1,5,3,9,Best Customers
113,12654.0,10,34,529.98,4,1,1,6,Potential Loyalists
114,12656.0,16,125,3550.72,3,1,1,5,At Risk
115,12657.0,10,52,1008.06,4,1,1,6,Potential Loyalists
116,12658.0,18,35,632.05,3,1,1,5,At Risk
117,12659.0,29,4,73.67999999999999,3,1,1,5,At Risk
118,12660.0,10,12,227.1,4,1,1,6,Potential Loyalists
119,12662.0,0,222,3511.08,5,1,1,7,Potential Loyalists
120,12665.0,324,3,43.75,1,5,3,9,Best Customers
121,12668.0,6,164,3113.18,5,1,1,7,Potential Loyalists
122,12669.0,150,98,1427.73,1,5,2,8,Loyal Customers
123,12670.0,9,89,2734.15,4,1,1,6,Potential Loyalists
124,12672.0,329,10,225.9,1,5,3,9,Best Customers
125,12673.0,4,41,574.52,5,1,1,7,Potential Loyalists
126,12674.0,11,87,1793.31,4,1,1,6,Potential Loyalists
127,12678.0,41,159,16441.26,2,1,1,4,Lost Customers
128,12679.0,51,52,896.6700000000001,1,2,1,4,Lost Customers
129,12680.0,0,49,790.81,5,1,1,7,Potential Loyalists
130,12681.0,14,623,12309.59,4,1,1,6,Potential Loyalists
131,12682.0,3,496,11028.22,5,1,1,7,Potential Loyalists
132,12683.0,3,349,7357.09,5,1,1,7,Potential Loyalists
133,12684.0,7,98,2073.63,5,1,1,7,Potential Loyalists
134,12685.0,27,151,2575.08,3,1,1,5,At Risk
135,12686.0,371,6,71.14,1,5,3,9,Best Customers
136,12689.0,25,70,1139.61,3,1,1,5,At Risk
137,12690.0,205,15,335.01,1,5,2,8,Loyal Customers
138,12691.0,27,27,927.8,3,1,1,5,At Risk
139,12693.0,120,37,686.96,1,4,2,7,Potential Loyalists
140,12694.0,69,35,761.67,1,2,1,4,Lost Customers
141,12695.0,6,27,582.1,5,1,1,7,Potential Loyalists
142,12700.0,7,264,4525.99,5,1,1,7,Potential Loyalists
143,12701.0,79,51,725.71,1,3,1,5,At Risk
144,12702.0,19,11,201.0,3,1,1,5,At Risk
145,12703.0,63,21,256.7,1,2,1,4,Lost Customers
146,12705.0,14,342,6328.24,4,1,1,6,Potential Loyalists
147,12707.0,291,33,603.42,1,5,2,8,Loyal Customers
148,12708.0,29,164,2346.32,3,1,1,5,At Risk
149,12709.0,2,251,8989.75,5,1,1,7,Potential Loyalists
150,12710.0,96,76,1004.5699999999999,1,3,1,5,At Risk
151,12712.0,22,128,3791.63,3,1,1,5,At Risk
152,12713.0,0,37,794.55,5,1,1,7,Potential Loyalists
153,12714.0,8,254,4294.86,4,1,1,6,Potential Loyalists
154,12716.0,3,67,963.49,5,1,1,7,Potential Loyalists
155,12718.0,70,18,202.25,1,2,1,4,Lost Customers
156,12719.0,4,40,536.1,5,1,1,7,Potential Loyalists
157,12720.0,2,346,5065.28,5,1,1,7,Potential Loyalists
158,12721.0,31,158,2358.98,2,1,1,4,Lost Customers
159,12722.0,84,56,886.33,1,3,1,5,At Risk
160,12723.0,3,68,707.07,5,1,1,7,Potential Loyalists
161,12724.0,4,49,923.41,5,1,1,7,Potential Loyalists
162,12726.0,27,117,2411.1,3,1,1,5,At Risk
163,12727.0,10,133,3425.7,4,1,1,6,Potential Loyalists
164,12728.0,70,42,728.33,1,2,1,4,Lost Customers
165,12729.0,113,25,417.01,1,4,2,7,Potential Loyalists
166,12731.0,23,275,18660.41,3,1,1,5,At Risk
167,12732.0,179,11,218.26000000000002,1,5,2,8,Loyal Customers
168,12734.0,352,4,110.39999999999999,1,5,3,9,Best Customers
169,12735.0,314,41,689.5699999999999,1,5,3,9,Best Customers
170,12736.0,332,3,144.0,1,5,3,9,Best Customers
171,12738.0,371,10,137.35,1,5,3,9,Best Customers
172,12740.0,63,27,427.6,1,2,1,4,Lost Customers
173,12747.0,1,103,4196.01,5,1,1,7,Potential Loyalists
174,12748.0,0,4623,30486.53,5,1,1,7,Potential Loyalists
175,12749.0,3,231,3868.2,5,1,1,7,Potential Loyalists
176,12820.0,2,59,942.34,5,1,1,7,Potential Loyalists
177,12821.0,213,6,92.72,1,5,2,8,Loyal Customers
178,12822.0,70,47,918.98,1,2,1,4,Lost Customers
179,12823.0,74,5,1759.5,1,2,1,4,Lost Customers
180,12824.0,59,25,397.12,1,2,1,4,Lost Customers
181,12826.0,2,94,1468.1200000000001,5,1,1,7,Potential Loyalists
182,12827.0,5,25,430.15,5,1,1,7,Potential Loyalists
183,12828.0,2,56,1018.71,5,1,1,7,Potential Loyalists
184,12829.0,321,12,253.05,1,5,3,9,Best Customers
185,12830.0,37,38,6814.64,2,1,1,4,Lost Customers
186,12831.0,261,9,215.05,1,5,2,8,Loyal Customers
187,12832.0,31,27,383.03000000000003,2,1,1,4,Lost Customers
188,12833.0,144,24,417.38,1,4,2,7,Potential Loyalists
189,12834.0,282,18,312.38,1,5,2,8,Loyal Customers
190,12836.0,58,175,2612.86,1,2,1,4,Lost Customers
191,12837.0,172,12,134.1,1,5,2,8,Loyal Customers
192,12838.0,33,123,683.13,2,1,1,4,Lost Customers
193,12839.0,2,315,5588.12,5,1,1,7,Potential Loyalists
194,12840.0,143,116,2714.27,1,4,2,7,Potential Loyalists
195,12841.0,4,439,3876.4,5,1,1,7,Potential Loyalists
196,12842.0,69,34,1118.99,1,2,1,4,Lost Customers
197,12843.0,65,108,1680.76,1,2,1,4,Lost Customers
198,12844.0,28,52,325.96000000000004,3,1,1,5,At Risk
199,12845.0,266,27,354.09000000000003,1,5,2,8,Loyal Customers
200,12847.0,21,91,871.54,3,1,1,5,At Risk
201,12849.0,30,49,1033.25,3,1,1,5,At Risk
202,12851.0,96,50,135.18,1,3,1,5,At Risk
203,12852.0,289,20,299.75,1,5,2,8,Loyal Customers
204,12853.0,107,84,1881.7,1,4,2,7,Potential Loyalists
205,12854.0,78,115,1289.15,1,3,1,5,At Risk
206,12855.0,372,3,38.1,1,5,3,9,Best Customers
207,12856.0,7,317,2162.68,5,1,1,7,Potential Loyalists
208,12857.0,210,46,1106.4,1,5,2,8,Loyal Customers
209,12863.0,51,6,504.2,1,2,1,4,Lost Customers
210,12864.0,137,3,147.12,1,4,2,7,Potential Loyalists
211,12867.0,25,550,3990.47,3,1,1,5,At Risk
212,12868.0,185,107,1607.0600000000002,1,5,2,8,Loyal Customers
214,12871.0,83,11,380.64,1,3,1,5,At Risk
215,12872.0,326,66,599.97,1,5,3,9,Best Customers
216,12873.0,281,4,374.0,1,5,2,8,Loyal Customers
